name;type;state;city;period_from;period_to;grant;id;applicant;use_case;additional_topics;description;dim_1;dim_2;dim_3;dim_4;dim_5;dim_6;dim_7;dim_8
Digitalisierung bei der Regierung von Oberbayern / Sachgebiet Gesundheit;Modellprojekt (MP);Bayern;München;01.10.2022;30.09.2024;877.500,00;BY-P512MP10245;Regierung von Oberbayern / Sachgebiet 53.1 - Gesundheit;;;;false;false;false;true;false;false;true;false
Einheitliche Software für die hessischen Gesundheitsämter;Ländermaßnahme (LM);Hessen;Wiesbaden;01.10.2022;30.09.2024;20.665.000,00;HE-P512LM10032;Hessisches Ministerium für Soziales und Integration;Gesundheitsberatung, Berichterstattung & Monitoring;DEMIS, Survnet;Das Projekt zielt darauf, für alle hessischen Gesundheitsämter und das zum 01.01.2023 neu zu gründende Hessische Landesamt für Gesundheit und Pflege (HLfGP) eine modular aufgebaute einheitliche Software zu erstellen, die sowohl alle fachlichen als auch alle übergreifenden Anforderungen (z.B. Datensicherheit, Datenschutz, OZG-Kompatibilität, TI-Anbindung, Auskünfte nach dem Informationsfreiheitsgesetz etc.) gleichermaßen erfüllt. Dabei sollen alle Anforderungen an eine moderne IT-Infrastruktur (Einsatz von Open Source Software, Open Data by Design, Vereinbarung mit den Anforderungen der gematik, Zero Trust, Verwendung aktueller Schnittstellen wie XÖV und HL7/FHIR, Trennung von Verwaltungs- und Medizinteil, etc.) berücksichtigt werden. Der modulare Aufbau ermöglicht die Kombination eines einheitlichen Grundmoduls (z.B. die Verwaltung der Personen, der Adressen, Termine und öffentlichen Ressourcen sowie Zugriffs- und Rechtemanagement) mit einzelnen Fachmodulen bspw. zur Masernimpfung, Hygieneüberwachung und Impf- und HIV-Beratung. Die einheitliche Software erleichtert die Zusammenarbeit, die einheitliche Datenerhebung, z.B. für die Gesundheitsberichterstattung, und unterstützt die gegenseitige Hilfeleistung in Notfällen. Die modulare Architektur erlaubt eine schrittweise Entwicklung und eine angepasste Einbindung der kommunalen Ebene.;true;true;true;true;true;false;true;true
Interoperabilitätsanforderungen verschiedener Fachanwendungen und Plattformlösungen;Ein Land für Alle (ELFA);Hessen;Wiesbaden;01.10.2022;30.09.2024;4.730.000,00;HE-P512LM10E28;Hessisches Ministerium für Soziales und Integration;;;;true;false;true;false;false;false;true;true
Digitaler Arbeitsplatz 2022 - Digitalisierung, Organisation, Verfügbarkeit, Kommunikation und Austausch digitaler Informationen im Gesundheitszentrum;Modellprojekt (MP);Hessen;Dietzenbach;01.11.2022;31.10.2024;470.000,00;HE-P512MP10073;Gesundheitszentrum Dietzenbach;;;;false;true;false;false;true;false;false;false
Roadmap Digitalisierung Amt für Gesundheit und Gefahrenabwehr Main-Kinzig-Kreis;Modellprojekt (MP);Hessen;Gelnhausen;01.12.2022;30.11.2024;272.643,00;HE-P512MP10081;Amt für Gesundheit und Gefahrenabwehr Main-Kinzig-Kreis;;;;true;false;true;false;false;false;false;false
Automatisierte Bearbeitung von strukturierten Geschäftsprozessen;Modellprojekt (MP);Hessen;Herborn;01.10.2022;30.09.2024;85.938,28;HE-P512MP10084;Kreisausschuss des Lahn-Dill-Kreises, Abteilung Gesundheit;;RPA;;false;false;true;false;false;false;false;true
Digitales Gesundheitsamt 2025 in der Gesundheitsverwaltung des Rheingau-Taunus-Kreises;Modellprojekt (MP);Hessen;Bad Schwalbach;01.10.2022;30.09.2024;350.071,00;HE-P512MP10099;Kreisausschuss des Rheingau-Taunus-Kreises, Gesundheitsverwaltung;;Sormas;;true;true;true;true;true;false;false;false
Digitalisierung des Meldeprozesses nach IfSG mit rechtssicherer elektronischer Zustellung von Dokumenten;Modellprojekt (MP);Hessen;Wiesbaden;01.10.2022;30.09.2024;1.386.760,00;HE-P512MP10163;Gesundheitsamt der Landeshauptstadt Wiesbaden;;DEMIS, Survnet, RPA, Octoware;;true;false;true;false;false;false;false;true
Digitalisierung des Gesundheitsamtes durch mehr Bürger- und Mitarbeitendenzentrierung sowie Steigerung der IT-Sicherheit;Modellprojekt (MP);Hessen;Limburg;01.10.2022;30.09.2024;907.746,20;HE-P512MP10168;Kreisausschuss des Landkreises Limburg-Weilburg;;Sormas, Climedo, RPA, enaio/mikado/mikropro;;true;true;false;false;true;false;false;false
"Prozessautomatisierung ""SORMAS Daten in Demis validieren""";Modellprojekt (MP);Hessen;Homberg (Efze);01.11.2022;31.10.2024;96.824,35;HE-P512MP10182;Schwalm-Eder-Kreis, Fachbereich 53 –Gesundheit, Verbraucherschutz und Veterinärwesen-;;Sormas, DEMIS, RPA;;true;false;true;false;false;false;false;false
Gemeinsam digital unterwegs;Modellprojekt (MP);Hessen;Kassel;01.10.2022;30.09.2024;1.448.000,00;HE-P512MP10183;Gesundheitsamt Region Kassel;Berichterstattung & Monitoring;RPA;;true;true;true;false;true;true;true;true
"Modellprojekt ""Digitales Gesundheitsamt Kreis Bergstraße"" - Etablierung einer externen digitalen Interaktion und Kommunikation mit und durch das Gesundheitsamt des Kreises Bergstraße";Modellprojekt (MP);Hessen;Heppenheim;01.10.2022;30.09.2024;1.028.120,00;HE-P512MP10222;Kreisausschuss Bergstraße;;;;true;true;true;false;true;true;false;false
Gesundheitsamt des Vogelsbergkreises Digital 2025;Modellprojekt (MP);Hessen;Lauterbach;01.10.2022;30.09.2024;160.213,10;HE-P512MP10229;Gesundheitsamt des Vogelsbergkreises;;;;true;true;true;false;false;false;false;false
Barrierefreiheit der Homepage des Gesundheitsamtes Marburg-Biedenkopf mit Schwerpunkt auf dem Infektionsschutz;Modellprojekt (MP);Hessen;Marburg;01.10.2022;30.09.2024;18.500,00;HE-P512MP10237;Fachbereich Gesundheitsamt, Landkreis Marburg-Biedenkopf;;;;false;false;false;false;true;true;false;false
Bedarfsorientierte Unterstützung und Qualifizierung für digitale Transformationsprozesse im Öffentlichen Gesundheitsdienst (BUDDI);Ein Land für Alle (ELFA);Nordrhein-Westfalen;Düsseldorf;01.10.2022;30.09.2024;2.248.040,42;NW-P512LM10E31;Akademie für Öffentliches Gesundheitswesen (AÖGW);;;BUDDI umfasst drei Teilprojekte. Das Projektbüro Digitale Tools wird wissenschaftlich fundiert weiterentwickelt. Die resultierenden Instrumente zur Bewertung digitaler Tools (z.B. Checklisten) werden dem ÖGD zur Verfügung gestellt. Um die Unterstützung von digitalen Transformationsprozessen bei Anwender:innen und Administrator:innen zu intensivieren, ist es das Ziel in Teilprojekt 2, Digitale Kompetenzen, ein umfassendes Bildungsangebot wissenschaftlich zu evaluieren, weiterzuentwickeln und nachhaltig zu institutionalisieren. Ziel des Teilprojektes 3 ist die Einrichtung einer zentralen digitalen Bibliothek als wissenschaftliche Informationsplattform zusammen mit einer Nachrichten-App, die u.a. eine regelmäßige Presseschau mit den wichtigsten Veröffentlichungen über ÖDG-relevante Themen bietet.;false;true;true;false;false;true;true;true
Digitalisierungspakt des Gesundheitsamtes Höxter;Modellprojekt (MP);Nordrhein-Westfalen;Höxter;01.10.2022;30.09.2024;1.440.000,00;NW-P512MP10007;Kreis Höxter- Fachbereich Gesundheits- und Veterinärwesen;Gesundheitsberatung;Octoware;;false;false;false;false;false;true;true;false
Sicheres ortsunabhängiges Arbeiten mit Nutzung der digitalen Akte;Modellprojekt (MP);Nordrhein-Westfalen;Warendorf;01.10.2022;30.09.2024;2.624.652,00;NW-P512MP10013;Kreis Warendorf;Belehrung, Impfungen;Sormas, DEMIS, Survnet, PICTURE, enaio/mikado/mikropro;;false;false;true;true;true;true;false;true
Entwicklung Digitalisierungsstrategie inkl. Prozessmanagement und die daraus entstehenden Projekte und Maßnahmen;Modellprojekt (MP);Nordrhein-Westfalen;Köln;01.10.2022;30.09.2024;4.862.688,00;NW-P512MP10027;Gesundheitsamt Stadt Köln;;Survnet;;true;true;false;false;false;false;false;false
Steigerung und Weiterentwicklung des digitalen Reifegrades des Gesundheitsamtes Märkischer Kreis;Modellprojekt (MP);Nordrhein-Westfalen;Lüdenscheid;01.10.2022;30.09.2024;1.007.000,00;NW-P512MP10033;Märkischer Kreis – Der Landrat;Belehrung;;;true;false;false;false;true;false;false;false
Vernetzung der Gesundheitsämter, Personale Unterstützung, Digitaler Wegweiser , Mobile Taskforce;Modellprojekt (MP);Nordrhein-Westfalen;Mülheim an der  Ruhr;01.10.2022;30.09.2024;301.000,00;NW-P512MP10054;Amt für Gesundheit und Hygiene (Mühlheim an der Ruhr);;ISGA;;true;false;true;false;false;false;false;false
strategische Prozessdigitalisierung unter Einbeziehung der Mitarbeitenden;Modellprojekt (MP);Nordrhein-Westfalen;Hamm;01.10.2022;30.09.2024;586.000,00;NW-P512MP10060;Stadt Hamm – Gesundheitsamt;;Sormas, Survnet, ISGA;;false;true;true;false;false;false;false;false
Digitales Gesundheitsamt im Rhein-Erft-Kreis 2025;Modellprojekt (MP);Nordrhein-Westfalen;Bergheim;01.10.2022;30.09.2024;2.169.800,00;NW-P512MP10066;Rhein-Erft-Kreis;Belehrung, Schuleingangsuntersuchung;Sormas, Climedo, DEMIS, Survnet, PICTURE;;true;false;true;false;false;true;false;false
Schaffung interoperabler Schnittstellen des ÖGD in Bochum zur verbesserten Einbindung interner und externer Akteure;Modellprojekt (MP);Nordrhein-Westfalen;Bochum;01.04.2022;31.12.2023;1.710.000,00;NW-P512MP10083;Gesundheitsamt Bochum;Impfungen, Gesundheitsberatung, Belehrung, Schuleingangsuntersuchung, Berichterstattung & Monitoring;Survnet, Octoware;;true;false;false;false;false;true;true;false
Papierloses Gesundheitsamt 2025;Modellprojekt (MP);Nordrhein-Westfalen;Minden;01.10.2022;30.09.2024;575.000,00;NW-P512MP10100;Kreis Minden-Lübbecke;;PICTURE;;true;true;false;false;false;false;false;false
Digitale Transformation des Gesundheitsamtes mit dem Fokus auf Mitarbeitende, Bürger:innen und Prozesse;Modellprojekt (MP);Nordrhein-Westfalen;Bonn;01.10.2022;30.09.2024;1.555.000,00;NW-P512MP10101;Gesundheitsamt der Bundesstadt Bonn;Berichterstattung & Monitoring;Sormas, Survnet, ISGA;;false;true;true;false;false;true;false;false
Digitalisierung des Gesundheitsamtes Dortmund;Modellprojekt (MP);Nordrhein-Westfalen;Dortmund;01.11.2022;31.10.2024;1.805.500,00;NW-P512MP10103;Stadt Dortmund -Gesundheitsamt;Trink- und Badewasserprüfung, Gesundheitsberatung;;;false;false;true;false;false;false;false;true
Infektionsschutz.Digital.Gestalten Kreis Wesel;Modellprojekt (MP);Nordrhein-Westfalen;Moers;01.10.2022;30.09.2024;506.950,00;NW-P512MP10110;Kreis Wesel – Fachdienst 53 –Gesundheitswesen;;ISGA, PICTURE;;false;false;false;false;true;false;false;true
Digitalisierungsstrategie und Umsetzung von Digitalisierungsmaßnahmen im Gesundheitsamt Mönchengladbach;Modellprojekt (MP);Nordrhein-Westfalen;Mönchengladbach;01.10.2022;30.09.2024;319.102,00;NW-P512MP10120;Fachbereich Gesundheit/Gesundheitsamt der Stadt Mönchengladbach;Trink- und Badewasserprüfung;Sormas, Survnet;;false;true;true;false;false;false;false;false
Digitales Gesundheitsamt im Kreis Coesfeld;Modellprojekt (MP);Nordrhein-Westfalen;Coesfeld;01.10.2022;30.09.2024;796.451,25;NW-P512MP10132;Kreis Coesfeld – der Landrat, Abteilung 53 Gesundheitsamt;;Sormas;;false;false;true;false;false;false;false;true
Digitalisierung des Gesundheitsamtes Steinfurt;Modellprojekt (MP);Nordrhein-Westfalen;Steinfurt;01.10.2022;30.09.2024;1.158.380,00;NW-P512MP10155;Gesundheitsamt Kreis Steinfurt;;PICTURE, RPA;;true;true;true;true;false;false;false;false
Begleitende Prozessanalyse und –digitalisierung im Rahmen der Einführung der Fachanwendung ISGA innerhalb des Herner GA;Modellprojekt (MP);Nordrhein-Westfalen;Herne;01.10.2022;30.09.2024;570.000,00;NW-P512MP10160;Stadt Herne, Fachbereich Gesundheit;;Survnet, ISGA, PICTURE;;true;true;false;false;false;false;false;false
Digitalisierung im Gesundheitsamt Münster;Modellprojekt (MP);Nordrhein-Westfalen;Münster;01.10.2022;30.09.2024;797.820,00;NW-P512MP10164;Stadt Münster, Gesundheits- und Veterinäramt Münster;;Survnet, PICTURE;;true;false;true;false;false;false;false;false
Digitalisierung des Gesundheitsamtes des Rheinisch-Bergischen Kreises;Modellprojekt (MP);Nordrhein-Westfalen;Bergisch Gladbach;01.06.2022;31.05.2024;540.000,00;NW-P512MP10177;Gesundheitsamt des Rheinisch-Bergischen Kreises;;;;true;false;true;false;false;false;false;false
Digitalisierung des Gesundheitsamts mit den Schwerpunkten Bürger:innenzentrierung und Zusammenarbeit beim Kreis Borken;Modellprojekt (MP);Nordrhein-Westfalen;Borken;01.10.2022;30.09.2024;448.054,65;NW-P512MP10178;Kreisverwaltung Borken – Fachbereich Gesundheit;Belehrung, Gesundheitsberatung;ISGA;;false;false;false;false;false;true;true;false
Digitalisierung der Infektionsschutzbegehungen (Teil A), der Röntgengeräte (Teil B) und des Identitäts- und Zugangsmanagement (Teil C);Modellprojekt (MP);Nordrhein-Westfalen;Grevenbroich;01.10.2022;30.09.2024;1.729.500,00;NW-P512MP10185;Rhein-Kreis Neuss Gesundheitsamt;;;;false;true;false;false;false;true;false;false
Weiterentwicklung Digitalisierung der Abteilung Gesundheit des Kreises Soest;Modellprojekt (MP);Nordrhein-Westfalen;Soest;01.10.2022;30.09.2024;800.000,00;NW-P512MP10186;Kreis Soest;;Survnet;;true;true;true;false;false;false;false;false
Digitale Prozesse in einer interoperablen Systemlandschaft für das Gesundheitsamt GT;Modellprojekt (MP);Nordrhein-Westfalen;Gütersloh;01.10.2022;30.09.2024;942.000,00;NW-P512MP10187;Kreisverwaltung Gütersloh;;Sormas;;true;false;true;false;false;false;false;false
Steigerung der digitalen Reife des Fachbereichs Gesundheit und Verbraucherschutz der Stadt Hagen;Modellprojekt (MP);Nordrhein-Westfalen;Hagen;01.10.2022;30.09.2024;592.000,00;NW-P512MP10191;Stadt Hagen - Fachbereich Gesundheit und Verbraucherschutz;Belehrung, Trink- und Badewasserprüfung, Berichterstattung & Monitoring;DEMIS, Survnet;;false;true;false;false;true;false;false;false
Ausbau der Digitalisierung des Gesundheitsamtes Duisburg;Modellprojekt (MP);Nordrhein-Westfalen;Duisburg;01.10.2022;30.09.2024;585.200,00;NW-P512MP10194;Gesundheitsamt der Stadt Duisburg;;;;true;false;false;true;false;true;false;false
Maßnahmenpacket zur Steigerung der digitalen Reife des Gesundheitsamtes Olpe;Modellprojekt (MP);Nordrhein-Westfalen;Olpe;01.10.2022;30.09.2024;430.000,00;NW-P512MP10214;Kreis Olpe - der Landrat;;;;true;false;true;false;false;false;false;false
smart4u@gesundheitsamt.euskirchen;Modellprojekt (MP);Nordrhein-Westfalen;Euskirchen;01.10.2022;30.09.2024;3.580.750,00;NW-P512MP10216;Kreisverwaltung Euskirchen, Abt. Gesundheit;;;;true;true;true;false;false;true;false;true
Prozessdigitalisierung unter Weiterentwicklung der Lösungen aus dem Infektionsschutz mit Fokus auf Reporting;Modellprojekt (MP);Nordrhein-Westfalen;Kleve;01.10.2022;30.09.2024;1.380.000,00;NW-P512MP10217;"Gesundheitsamt Kleve
Gesundheitsamt Kleve";;Survnet, RPA;;true;true;true;false;false;false;false;false
Erarbeitung einer Digitalisierungsstrategie für den Stadtdienst Gesundheit der Klingenstadt Solingen;Modellprojekt (MP);Nordrhein-Westfalen;Solingen;01.10.2022;31.03.2024;450.350,00;NW-P512MP10224;Stadt Solingen - Stadtdienst Gesundheit;;;;true;true;true;false;false;false;false;false
Sichere Prozessdigitalisierung im Gesundheitsamt des Kreises Recklinghausen;Modellprojekt (MP);Nordrhein-Westfalen;Recklinghausen;01.10.2022;30.09.2024;327.200,00;NW-P512MP10230;Kreisverwaltung Recklinghausen;;ISGA;;false;false;true;false;true;false;false;false
„Das Gesundheitsamt des Rhein-Sieg-Kreises - zukunftsfähig, digital, bürgernah“;Modellprojekt (MP);Nordrhein-Westfalen;Siegburg;01.10.2022;30.09.2024;672.700,48;NW-P512MP10233;Rhein-Sieg-Kreis, Der Landrat;Impfungen;Sormas, DEMIS, Survnet, PICTURE;;true;false;true;false;false;false;false;false
Digitale Prozesse und Sicherheit im Gesundheitsamt des Kreises Paderborn;Modellprojekt (MP);Nordrhein-Westfalen;Paderborn;01.11.2022;31.10.2024;535.000,00;NW-P512MP10234;Gesundheitsamt Kreis Paderborn;;Äskulab, PICTURE;;false;false;true;false;true;false;false;false
Nachhaltige Entwicklung digitaler Strukturen im Gesundheitsamt Essen;Modellprojekt (MP);Nordrhein-Westfalen;Essen;01.10.2022;30.09.2024;3.922.637,13;NW-P512MP10240;Stadt Essen, Gesundheitsamt;;Survnet;;true;true;false;false;true;true;false;true
Digitalisierung des Gesundheitsamtes Kreis Mettmann;Modellprojekt (MP);Nordrhein-Westfalen;Mettmann;01.10.2022;30.09.2024;930.122,35;NW-P512MP10248;Kreis Mettmann Der Landrat - Gesundheitsamt;Berichterstattung & Monitoring;Sormas, DEMIS, RPA;;false;false;true;false;true;false;false;false
Digitales Gesundheitsamt Kreis Herford;Modellprojekt (MP);Nordrhein-Westfalen;Herford;01.10.2022;30.09.2024;731.627,72;NW-P512MP10252;Kreis Herford – Gesundheitsamt (ÖGD);Trink- und Badewasserprüfung;Sormas, DEMIS, Survnet, PICTURE, RPA, enaio/mikado/mikropro;;false;false;true;false;true;false;false;true
Gesundheitsdienste Flensburg werden digital;Modellprojekt (MP);Schleswig-Holstein;Flensburg;01.10.2022;30.09.2024;304.000,00;SH-P512MP10010;Gesundheitsdienste der Stadt Flensburg;;Survnet, ISGA, enaio/mikado/mikropro;;false;true;true;false;false;false;false;false
Steigerung und Weiterentwicklung des digitalen Reifegrades des Gesundheitsamtes Herzogtum Lauenburg;Modellprojekt (MP);Schleswig-Holstein;Ratzeburg;01.10.2022;30.09.2024;888.300,00;SH-P512MP10036;Kreis Herzogtum Lauenburg;;;;true;false;true;false;false;false;false;false
ÖGD-Digital im Kreis Stormarn;Modellprojekt (MP);Schleswig-Holstein;Bad Oldesloe;01.10.2022;30.09.2024;1.215.000,00;SH-P512MP10037;Kreis Stormarn – Der Landrat, Fachdienst Gesundheit;Belehrung;enaio/mikado/mikropro;;false;true;true;false;false;true;false;false
Steigerung und Weiterentwicklung des digitalen Reifegrades des Gesundheitsamtes des Kreises Pinneberg;Modellprojekt (MP);Schleswig-Holstein;Elmshorn;01.10.2022;30.09.2024;1.463.700,00;SH-P512MP10048;Kreis Pinneberg, Fachdienst Gesundheit;;Climedo, enaio/mikado/mikropro;;true;false;true;false;false;false;false;false
Digitalisierung der Impfakten;Ländermaßnahme (LM);Niedersachsen;Hannover;01.07.2021;31.12.2022;7.350.290,21;NI-P512LM10017;Niedersächsisches Ministerium für Soziales, Gesundheit und Gleichstellung;Impfungen;;Inhalt der Landesmaßnahme ist die Digitalisierung der aktuell in Papierform vorliegenden Impfakten. Dies betrifft die Anamnesebögen und Einwilligungserklärungen der SARS CoV 2 Impfungen aus den niedersächsischen Impfzentren und den mobilen Impfteams sowie den Aufbau eines digitalen Archivs zur Ablage und zum Zugriff auf die digitalen Akten. Die Landesmaßnahme umfasst auch die datenschutzkonforme Abholung, Belegvorbereitung, Digitalisierung und Nachbearbeitung der betreffenden Akten. Die Daten der Impfkampagne zu COVID-19 stehen nach Projektabschluss vollständig digitalisiert zur Verfügung, so dass Zugriffe bspw. im Zusammenhang mit der Untersuchung von negativen Impffolgen deutlich erleichtert werden.;false;false;false;false;false;false;false;false
Digitales Gesundheitsamt 2025 – ÖGD Behörden des Freistaats Sachsen;Ländermaßnahme (LM);Sachsen;Dresden;01.08.2022;30.09.2024;16.885.970,88;SN-P512LM10002;Sächsische Staatsministerium für Soziales und Gesellschaftlichen Zusammenhalt (SMS);;Octoware;Die koordinierte Landesmaßnahme in Sachsen plant eine übergreifende Modernisierung in allen Bereichen des ÖGD und die Vereinheitlichung der Prozesse mit Hilfe einer Analyse der Ist-Situation und der Entwicklung und Umsetzung einer Digitalisierungsstrategie für die Kommunal- und Landesebene erreichen. Der Schwerpunkt der Strategie liegt auf der Verbesserung der Interoperabilität der genutzten technischen Systeme, der Anwenderfreundlichkeit und medienbruchfreien Kommunikation mit den Bürgern. Damit soll in erster Linie eine mittelbare Stärkung des Infektionsschutzes erreicht werden. Dabei wird auch ein IT-Sicherheitskonzept erarbeitet und eine abschließende Evaluierung der Landesmaßnahme durchgeführt. Darüber hinaus sind in allen Gesundheitsämtern (GA) Sachsens auch Einzelmaßnahmen eingeplant.;true;true;true;true;true;true;true;true
KRITIS und Resilienzbewertung im ÖGD in Sachsen-Anhalt;Ländermaßnahme (LM);Sachsen-Anhalt;Magdeburg;01.08.2023;31.07.2025;1.657.500,00;ST-P512LM20301;Ministerium für Arbeit, Soziales, Gesundheit und Gleichstellungdes Landes Sachsen-Anhalt;Berichterstattung & Monitoring, Trink- und Badewasserprüfung, Schuleingangsuntersuchung;;Die koordinierte Ländermaßnahme „KRITIS und Resilienzbewertung im ÖGD in Sachsen-Anhalt“ (Resilenter ÖGD ST) verfolgt das Ziel einer weitergehenden Steigerung der digitalen Reife in den Gesundheits- und Landesämtern und dem Ministerium für Arbeit, Soziales, Gesundheit und Gleichstellung. Zudem wird die Resilienz des ÖGD in Sachsen-Anhalt erhöht.;false;true;true;false;false;false;true;true
Digitalisierung des ÖGD in Baden-Württemberg II;Ländermaßnahme (LM);Baden-Württemberg;Stuttgart;01.09.2023;31.08.2025;7.578.920,00;BW-P512LM20302;Ministerium für Soziales, Gesundheit und IntegrationBaden-Württemberg;Berichterstattung & Monitoring;;Das übergreifende Ziel des Projekts bildet die nachhaltige Verankerung von digitalisierten Strukturen im ÖGD in Baden-Württemberg (BW). Konkret wird dies über fünf Maßnahmen erreicht:;false;false;true;true;true;false;true;true
Erweiterung Plattform digitales Thüringer Gesundheitsamt (Gateway) (TH-P512LM10046);Ländermaßnahme (LM);Thüringen;Erfurt;01.08.2023;31.07.2025;1.558.116,00;TH-P512LM20303;Thüringer Ministerium für Arbeit, Soziales, Gesundheit, Frauen und Familie;Berichterstattung & Monitoring;;Inhaltlich erweiterte Ländermaßnahme zum Projekt „Plattform digitales Thüringer Gesundheitsamt (Gateway)“ (vgl. Zuschusszusage vom 24.11.2022) mit Betrachtung des Infektionsschutzes. TP11 fokussiert sich auf den Betrieb und das Hosting sowie deren vorgelagerte Spezifikationen und damit auf die Dimension „IT-Bereitstellung“ des Reifegradmodells für die zu entwickelnden Module der Plattform. Zusammenfassend sind die Ziele des TP11 die Durchführung eines zentralen Anforderungsmanagements inkl. anschließender Spezifikation sowie der Aufbau und die Konfiguration der gesamten IT-Infrastruktur für die „Plattform digitales Thüringer Gesundheitsamt (Gateway)“. TP12 zielt darauf ab, im Sinne einer Erweiterung die Module aus dem 1. Förderaufruf technisch und fachlich auszubauen sowie weitere identifizierte Anforderungen umzusetzen und ggfs. Module nachzunutzen. Ein Referenzprojekt, an dem die genannte Zielstellung beispielhaft erprobt werden soll, ist die Thüringer Gesundheitsberichterstattung.;false;false;false;true;true;false;false;false
Digitalisierung 4.0 des saarländischen ÖGD  Inhaltliche Erweiterung des Projektes;Ländermaßnahme (LM);Saarland;Saarbrücken;01.08.2023;31.07.2025;890.168,00;SL-P512LM20304;Ministerium für Soziales, Gesundheit, Frauen und Familie Saarland;Belehrung, Gesundheitsberatung;;Es wird die inhaltliche Erweiterung der koordinierten Ländermaßnahme um weiter Unterprojekte beantragt. Ziel dieser Unterprojekte ist das Vorantreiben der digitalen Reife des saarländischen ÖGD.;true;false;false;false;false;true;false;false
Standardisierung, Automatisierung und Entscheidungsunterstützung im Bereich der SEU unter Einbindung wissenschaftlicher Expertise [gekürzt];Ländermaßnahme (LM);Bayern;München;01.08.2023;31.07.2025;556.000,00;BY-P512LM20305;Bayerisches Staatsministerium für Gesundheit und Pflege;Schuleingangsuntersuchung;;Ziel ist die Förderung der Standardisierung, Automatisierung und auf quantifizierbaren Befunden gestützten Entscheidungsunterstützung im Bereich der Schuleingangsuntersuchung. Hierzu sollen in einem translationalen Ansatz in Zusammenarbeit mit einer Hochschuleinrichtung (mit wissenschaftlicher Expertise insbesondere in den Bereichen Datenanalyse und künstlicher Intelligenz) digitale Lösungen entwickelt werden, die anschließend landesweit in Gesundheitsbehörden zum Einsatz kommen.;false;false;true;false;false;false;false;true
Entwicklung und Einführung von Software für die genomisch gestützte Infektionskettenanalyse;Ländermaßnahme (LM);Nordrhein-Westfalen;Düsseldorf;01.08.2023;31.07.2025;1.521.400,00;NW-P512LM20306;Ministerium für Arbeit,Gesundheit und Sozialesdes Landes Nordrhein-Westfalen;Berichterstattung & Monitoring;;Die genomisch gestützte Infektionskettenanalyse ermöglicht das Nachvollziehen von Infektionsketten in Ausbruchsszenarien und in der Allgemeinbevölkerung sowie die zielgerichtete, evidenzbasierte Adaption von Maßnahmen zum Infektionsmanagement. Sie kann damit einen entscheidenden Beitrag zum Infektionsschutz durch den Öffentlichen Gesundheitsdienst (ÖGD) liefern. Basierend auf dieser Methode wird die Beratungskompetenz des ÖGD gegenüber politischen Entscheidungsträgern, insbesondere in Krisenzeiten, gesteigert und zielgerichteter möglich sein.;false;true;false;false;false;false;true;true
Digitales Gesundheitsamt 2025 in den Hamburger Einrichtungen des ÖGD  2. Teil;Ländermaßnahme (LM);Hamburg;Hamburg;01.08.2023;31.07.2025;1.311.582,00;HH-P512LM20307;Behörde für Arbeit, Gesundheit Soziales, Familie und Integration der Stadt Hamburg;Berichterstattung & Monitoring;Survnet, Octoware;Mit dem Förderantrag sollen vor allem die personellen Kapazitäten zur Umsetzung Digitalisierungsvorhaben und Einführung digitaler Lösungen und Tools sowie der Prozesserhebungen verstärkt werden. Zudem soll die begonnene Rollout-Planung von Pilotprojekten fortgesetzt sowie die inhaltliche Weiterentwicklung bisheriger Maßnahmen ermöglicht werden. Darüber hinaus soll auch die Finanzierung der initialen Betriebskosten, insbesondere des Rechenzentrumsbetriebs und weiterer Kosten im Kontext der IT-Sicherheit, erfolgen. Außerdem ist die am Bedarf orientierte Schulung und Kompetenzstärkung der Mitarbeitenden vorgesehen.;false;false;true;false;false;false;true;false
ÖGD-Serviceportal für Bürger und Bürgerinnen & weitere ÖGD Plattform Funktionen;Ländermaßnahme (LM);Rheinland-Pfalz;Mainz;01.08.2023;31.07.2025;3.653.790,00;RP-P512LM20308;Ministerium für Bildung, Wissenschaft, Jugend und Kultur des Landes Rheinland/Pfalz;Belehrung, Gesundheitsberatung;enaio/mikado/mikropro;Um gegenüber Bürger und Bürgerinnen eine einheitliche, stringente, konsistente und zeitlich synchrone Information, Kommunikation und Service-Interaktion zu erwirken, soll ein Portal entstehen, welches als Single-Point-Of-Truth und Single Point of Contact fungiert. Das Portal versteht sich dabei auch als Gateway, um Bürger und Bürgerinnen bei Anfragen an das zuständige Gesundheitsamt, zielführend im Sinne einer medienbruchfreien U-ser-Journey zu leiten. Das gesamte Projekt folgt einem strikten Bürger:innen-zentrierten Ansatz und Bürger und Bürgerinnen sollen am Anforderungserhebungs-, Konzeptions- und agilen Entwicklungsprozess aktiv beteiligt werden. Zudem sollen mit diesem Förderantrag weitere landesspezifische Funktionen und Module umgesetzt werden, die im Zuge des Anforderungsmanagement identifiziert werden und die einen positiven Impact auf die Plattform sowie Mehrwerte für den ÖGD in RLP darstellen.;false;false;false;true;true;true;false;false
